age,citizen,unit,sex,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
Y62,FOR,NR,F,DE	576 	497 	400 	307 	268 b	668 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,DK	23 	16 	16 	7 	17 	14 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,EE	1 	4 	2 	6 	2 	2 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,EL	63 	64 	66 	82 	67 	55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,ES	846 	922 	1128 	941 	1015 	1048 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,FI	26 	28 	21 	17 	10 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,FR	388 	394 	378 	347 	338 	322 	232 	293 b	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,HR	44 	18 	24 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,HU	52 	65 	66 	76 b	91 	107 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,IE	70 p	71 	45 	26 	37 	49 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,IS	2 	3 	2 	: 	1 b	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,IT	883 	781 	911 	919 	889 p	839 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,LI	3 	2 	1 	1 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,LT	3 	4 	2 	3 	2 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,LU	25 	26 	31 	17 	22 	18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,LV	17 	14 	19 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,ME	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,MK	: 	3 	3 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,MT	17 	14 	8 	11 	12 	8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,NL	40 	46 	37 	39 	33 b	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,NO	26 	31 	32 	35 	28 	26 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,PL	164 	254 	139 	111 	92 b	19 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,PT	10 	12 	16 	13 	22 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,RO	22 	24 	21 	21 	10 	21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,SE	81 	66 	73 	83 	86 	83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,SI	14 	14 	10 	10 	16 	21 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,SK	: 	: b	6 b	15 	20 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,F,UK	369 	105 	163 	237 	140 	271 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,AT	131 	121 	107 	92 	91 	86 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,BE	84 	138 	158 	138 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,BG	89 p	89 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,CH	168 	157 	122 b	152 	167 	160 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,CY	42 	24 	28 	72 	: 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,CZ	44 	41 	37 	63 	88 	114 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,DE	649 	586 	422 	314 	313 b	723 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,DK	29 	19 	22 	13 	17 	20 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,EE	4 	2 	1 	1 	5 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,EL	52 	51 	53 	52 	44 	43 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,ES	710 	751 	829 	809 	860 	921 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,FI	27 	20 	19 	25 	17 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,FR	362 	371 	460 	365 	208 	367 	398 	279 b	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,HR	32 	22 	22 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,HU	55 	75 	73 	69 b	83 	107 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,IE	23 p	27 	35 	44 	61 	90 	114 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,IS	3 	4 	4 	3 	3 b	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,IT	372 	322 	366 	340 	398 p	372 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,LI	1 	0 	3 	2 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,LT	8 	10 	6 	3 	5 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,LU	28 	25 	28 	28 	20 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,LV	19 	25 	32 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,ME	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,MK	: 	4 	2 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,MT	20 	17 	15 	12 	14 	11 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,NL	49 	54 	35 	46 	46 b	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,NO	33 	34 	39 	41 	33 	29 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,PL	331 	235 	202 	150 	165 b	38 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,PT	14 	10 	16 	13 	25 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,RO	27 	47 	38 	79 	40 	49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,SE	95 	110 	87 	81 	106 	109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,SI	22 	24 	30 	16 	25 	40 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,SK	: 	: b	16 b	32 	41 	41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,M,UK	156 	252 	262 	96 	175 	285 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,AT	258 	266 	215 	200 	180 	182 	174 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,BE	168 	289 	334 	288 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,BG	185 p	145 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,CH	305 	262 	216 b	285 	280 	278 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,CY	42 	66 	63 	138 	: 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,CZ	66 	75 	47 	93 	135 	176 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,DE	1225 	1083 	822 	621 	581 b	1391 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,DK	52 	35 	38 	20 	34 	34 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,EE	5 	6 	3 	7 	7 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,EL	115 	115 	119 	134 	111 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,ES	1556 	1673 	1957 	1750 	1875 	1969 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,FI	53 	48 	40 	42 	27 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,FR	750 	765 	838 	712 	546 	689 	630 	572 b	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,HR	76 	40 	46 	: 	: 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,HU	107 	140 	139 	145 b	174 	214 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,IE	93 p	98 	80 	70 	98 	139 	159 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,IS	5 	7 	6 	3 	4 b	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,IT	1255 	1103 	1277 	1259 	1287 p	1211 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,LI	4 	2 	4 	3 	1 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,LT	11 	14 	8 	6 	7 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,LU	53 	51 	59 	45 	42 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,LV	36 	39 	51 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,ME	: 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,MK	: 	7 	5 	: 	: 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,MT	37 	31 	23 	23 	26 	19 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,NL	89 	100 	72 	85 	79 b	89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,NO	59 	65 	71 	76 	61 	55 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,PL	495 	489 	341 	261 	257 b	57 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,PT	24 	22 	32 	26 	47 	89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,RO	49 	71 	59 	100 	50 	70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,SE	176 	176 	160 	164 	192 	192 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,SI	36 	38 	40 	26 	41 	61 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,SK	: 	: b	22 b	47 	61 	52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,FOR,NR,T,UK	525 	357 	425 	333 	315 	556 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,AT	31 	18 	34 	31 	47 	29 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,BE	28 	28 	31 	46 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,BG	44 p	65 	: 	: 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,CH	93 	82 	90 b	41 	41 	58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,CY	0 	0 	21 	37 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,CZ	10 	9 	10 	24 	20 	21 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,DE	211 	227 	180 	176 	163 b	187 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,DK	29 	29 	39 	27 	36 	38 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,EE	13 	4 	11 	5 	5 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,EL	137 	137 	141 	146 	118 	109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,ES	162 	153 	213 	171 	162 	186 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,FI	24 	23 	26 	21 	24 	32 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,FR	173 	215 	116 	214 	247 	275 	178 	241 b	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,HR	34 	23 	16 	: 	: 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,HU	73 	58 	17 	0 b	0 	1 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,IE	25 p	36 	35 	22 	35 	38 	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,IS	3 	2 	2 	4 	2 b	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,IT	153 	154 	159 	183 	154 p	162 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,LI	0 	0 	1 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,LT	21 	12 	6 	6 	7 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,LU	3 	5 	3 	0 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,LV	28 	37 	31 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,ME	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,MK	: 	8 	1 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,MT	13 	12 	15 	5 	13 	11 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,NL	79 	82 	83 	80 	89 b	96 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,NO	13 	14 	14 	26 	22 	23 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,PL	627 	399 	282 	195 	256 b	58 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,PT	22 	19 	32 	132 	148 	81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,RO	462 	319 	411 	244 	187 	133 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,SE	47 	40 	44 	47 	42 	56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,SI	18 	28 	35 	16 	10 	6 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,SK	: 	: b	3 b	4 	2 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,F,UK	205 	209 	331 	201 	249 	203 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,AT	61 	57 	60 	79 	67 	69 	47 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,BE	74 	74 	74 	93 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,BG	29 p	41 	: 	: 	: 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,CH	102 	103 	111 b	58 	42 	58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,CY	0 	0 	11 	26 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,CZ	12 	9 	13 	34 	46 	39 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,DE	292 	348 	316 	293 	261 b	330 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,DK	41 	31 	43 	46 	50 	67 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,EE	5 	2 	3 	2 	6 	5 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,EL	135 	137 	141 	135 	124 	125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,ES	178 	186 	180 	180 	163 	241 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,FI	26 	33 	24 	30 	44 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,FR	161 	263 	251 	199 	266 	254 	175 	214 b	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,HR	23 	17 	12 	: 	: 	39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,HU	58 	45 	15 	3 b	2 	3 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,IE	14 p	27 	57 	50 	77 	90 	94 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,IS	4 	8 	4 	2 	2 b	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,IT	200 	181 	191 	265 	258 p	243 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,LI	0 	1 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,LT	20 	27 	11 	15 	17 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,LU	2 	5 	4 	6 	3 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,LV	21 	42 	35 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,ME	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,MK	: 	6 	7 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,MT	8 	8 	8 	9 	7 	8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,NL	129 	112 	106 	121 	124 b	150 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,NO	22 	15 	21 	35 	26 	13 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,PL	466 	413 	375 	226 	236 b	50 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,PT	48 	56 	91 	98 	105 	106 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,RO	302 	277 	317 	198 	172 	147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,SE	62 	81 	72 	75 	69 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,SI	21 	26 	22 	22 	18 	10 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,SK	: 	: b	7 b	12 	8 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,M,UK	322 	409 	320 	383 	341 	481 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,AT	92 	75 	94 	110 	114 	98 	71 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,BE	102 	102 	105 	139 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,BG	73 p	106 	: 	: 	: 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,CH	195 	185 	201 b	99 	83 	116 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,CY	0 	0 	32 	63 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,CZ	22 	18 	23 	58 	66 	60 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,DE	503 	575 	496 	469 	424 b	517 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,DK	70 	60 	82 	73 	86 	105 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,EE	18 	6 	14 	7 	11 	12 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,EL	272 	274 	282 	281 	242 	234 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,ES	340 	339 	393 	351 	325 	427 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,FI	50 	56 	50 	51 	68 	69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,FR	334 	478 	367 	413 	513 	529 	353 	455 b	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,HR	57 	40 	28 	: 	: 	75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,HU	131 	103 	32 	3 b	2 	4 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,IE	39 p	63 	92 	72 	112 	128 	145 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,IS	7 	10 	6 	6 	4 b	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,IT	353 	335 	350 	448 	412 p	405 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,LI	0 	1 	1 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,LT	41 	39 	17 	21 	24 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,LU	5 	10 	7 	6 	4 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,LV	49 	79 	66 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,ME	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,MK	: 	14 	8 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,MT	21 	20 	23 	14 	20 	19 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,NL	208 	194 	189 	201 	213 b	246 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,NO	35 	29 	35 	61 	48 	36 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,PL	1093 	812 	657 	421 	492 b	108 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,PT	70 	75 	123 	230 	253 	187 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,RO	764 	596 	728 	442 	359 	280 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,SE	109 	121 	116 	122 	111 	118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,SI	39 	54 	57 	38 	28 	16 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,SK	: 	: b	10 b	16 	10 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,NAT,NR,T,UK	527 	618 	651 	584 	590 	684 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,AT	158 	163 	142 	139 	136 	125 	123 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,BE	112 	179 	208 	196 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,BG	144 p	121 bp	: 	: 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,CH	230 	187 	184 b	174 	154 	176 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,CY	0 	42 	56 	103 	80 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,CZ	32 	43 	20 	54 	67 	83 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,DE	787 	724 	580 	483 	431 b	857 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,DK	52 	45 	55 	34 	53 	52 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,EE	14 	8 	13 	11 	7 	9 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,EL	200 	201 	207 	228 	185 	164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,ES	1008 	1075 	1341 	1112 	1177 	1234 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,FI	50 	51 	47 	38 	34 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,FR	561 	609 	494 	561 b	585 	597 	410 	534 b	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,HR	78 	41 	40 b	: 	: 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,HU	125 	123 	83 	76 b	91 	108 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y62,TOTAL,NR,F,IE	95 p	107 	80 	48 	72 	87 	96 	: 	: 	: 	: 	: 	: 	: 	: 	: 
